id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,Category,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_01034,09F9450,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL14 - 4/6-6,M&C,,Special fittings for GL (glass) connections connector/adaptor GL14 DN4/6 PV. - 6mm,Accessory,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.7,1,30,1
Product_01035,09F9500,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL18 - 4/6,M&C,,Connector/adaptor GL18 DN4/6 PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,13.5,1,30,1
Product_01036,09F9510,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL18 - 6/8,M&C,,Connector/Adaptor GL18 DN6/8 PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.8,1,30,1
Product_01037,09F9520,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL25 - 4/6,M&C,,Connector/adaptor GL25 DN4/6 PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.3,1,30,1
Product_01038,09F9525,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL25 - 6/8,M&C,,Connector/adaptor GL25 DN6/8 PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.5,1,30,1
Product_01039,09F9530,M&C TechGroup Germany GmbH,Anschlußad.PVDF GL25 - 10/12,M&C,,Connector/adaptor GL25 DN10/12 PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.8,1,30,1
Product_01040,09F9540,M&C TechGroup Germany GmbH,Anschlußnippel GL25 10-12 PV,M&C,,Connector/nipple GL25 10-12mm PV.,Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.2,1,30,1
Product_01041,09K1000,M&C TechGroup Germany GmbH,AD-P,M&C,,"Automatic condensate trap with float type AD-P material: PP, glass, Viton.",Trap/Scrabbler,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,383,1,30,1
Product_01042,09K2000,M&C TechGroup Germany GmbH,AD-T,M&C,,"Automatic condensate trap with float type AD-T material: PTFE, PVDF, glass.",Trap/Scrabbler,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,629,1,30,1
Product_01043,09K3000,M&C TechGroup Germany GmbH,AD-SS,M&C,,"Automatic condensate trap with float type AD-SS. Condensate-IN:  1/2""NPTi, Condensate-OUT: 1/2""NPTi. Material: stainl. steel.",Trap/Scrabbler,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,528,1,30,1
Product_01044,09K4000,M&C TechGroup Germany GmbH,TG1 mit Halter,M&C,TG-1,"Condensate pot type TG-1 with outlet cock, connection for liquid alarm sensor and PVC wall mounting device, contents approx. 1 liter. Material: Duran glass.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,404,1,30,1
Product_01045,09K4050,M&C TechGroup Germany GmbH,TG10 mit Halter,M&C,TG-10,Condensate pot type TG-10 with outlet cock and PVC wall mounting device. Contents approx. 1 liter. Material: Duran glass.,Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,388,1,30,1
Product_01046,09K4100,M&C TechGroup Germany GmbH,TG1/LA1.1   115/230V,M&C,TG-1,"Condensate pot type TG1/LA1, with outlet cock and PVC wall mounting device. Complete with liquid alarm sensor type LA1S and electronic controller type LA1.1. Contents: approx. 1 ltr. Material: Duran-glass. Power: 115/230V 50/60Hz",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,794,1,30,1
Product_01047,09K4200,M&C TechGroup Germany GmbH,TK11,M&C,TK11,"Condensate pot type TK11 with outlet cock, contents approx. 1 liter with drilled hole, special connection 1 x M28x1,5 1 x G 3/8""-f ISO, material:PVC-transparent.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,215,1,30,1
Product_01048,09K4250,M&C TechGroup Germany GmbH,TK10,M&C,TK10,"Condensate pot type TK10 with outlet cock, contents approx. 1 liter, incl. wall mounting bracket. connections: 2x G1/4""f ISO 1x G3/8""f ISO. Material:PVC-transparent.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,215,1,30,1
Product_01049,09K4300,M&C TechGroup Germany GmbH,TK12/LA5,M&C,TK12,"Condensate pot type TK12/LA5 with outlet cock and float switch, contents approx. 1 liter, connections: 1x G3/8""f, 1x G1/4""f ISO, material:PVC-transparent.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,306,1,30,1
Product_01050,09k4310,M&C TechGroup Germany GmbH,TK13 10L,M&C,TK13,"Condensate pot TK13 with outlet cock, contents approx. 10 litres, 310 mm high, diameter 235 mm, with 3 tube connections 4/6mm, handle. material: PE, PPH.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,304,1,30,1
Product_01051,09k4320,M&C TechGroup Germany GmbH,TK13/LA5 10L,M&C,TK13,"Condensate pot TK13/LA5 with level switch and outlet cock. contents: Content: 10 liter. Height: 310mm. Diameter: 235mm. With 2 tube connections (4/6mm) and a handle. Material: PE, PPH.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,415,1,30,1
Product_01052,09K6000,M&C TechGroup Germany GmbH,ADS-P,M&C,,"Separator with automatic condensat trap with float type ADS-P material: PP, Viton, glass.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,434,1,30,1
Product_01053,09K7000,M&C TechGroup Germany GmbH,ADS-T,M&C,,"Separator with automatic condensate trap with float type ADS-T IN:  2x G1/4""i OUT: 1x G1/4""a material: PTFE, PVDF, FEP, glass.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,674,1,30,1
Product_01054,09K8000,M&C TechGroup Germany GmbH,ADS-SS,M&C,,"Separator with automatic condensate trap with float type ADS-SS. sample-IN:      G1/4""i, sample-OUT:     1/2""NPTi, condensate-OUT: 1/2""NPTi, material: stainl. steel.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,557,1,30,1
Product_01055,09K8500,M&C TechGroup Germany GmbH,SD-P,M&C,SD-P,"Condensate pot type SD-P, inlet: G1/2""f ISO, outlet: GL25-12 mm, contents: approx 70 ml. Material: PP, Viton, glass.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,167,1,30,1
Product_01056,09K8600,M&C TechGroup Germany GmbH,SD-T,M&C,SD-T,"Condensate pot type SD-T, inlet: G1/2""f ISO, outlet: GL25-12 mm, contents: approx. 70 ml, material: PTFE, FEP, glass.",Condensate Regulated,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,333,1,30,1
Product_01057,09V1000,M&C TechGroup Germany GmbH,"GE SS R1/8"" -  6MM RT",M&C,,"Male connector G1/8""-6mm, material SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,30.6,1,30,1
Product_01058,09V1005,M&C TechGroup Germany GmbH,"GE SS R1/4"" -  6MM RT",M&C,,"Male connector 6mm tube - R1/4"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,32.6,1,30,1
Product_01059,09V1010,M&C TechGroup Germany GmbH,"GE SS R3/8"" -  6MM RT",M&C,,"Male connector 6mm tube - R3/8"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,41,1,30,1
Product_01060,09V1100,M&C TechGroup Germany GmbH,"GE SS R1/8"" -  8MM RT",M&C,,"Male connector 8mm tube - R1/8"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,33.1,1,30,1
Product_01061,09V1105,M&C TechGroup Germany GmbH,"GE SS R1/4"" -  8MM RT",M&C,,"Male connector 8mm tube - R1/4"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,38.1,1,30,1
Product_01062,09V1110,M&C TechGroup Germany GmbH,"GE SS R3/8"" -  8MM RT",M&C,,"Male connector 8mm tube - R3/8"". Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,44.8,1,30,1
Product_01063,09V1205,M&C TechGroup Germany GmbH,"GE SS R1/4"" - 12mm RT",M&C,,"Male connector 12mm tube - R1/4""o. Material: SS316.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,64.3,1,30,1
