"id","name","default_code","brand","model","description","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","cost_method","uom_id","uom_po_id","valuation","standard_price","list_price","taxes_id","supplier_taxes_id"
"Product_KNF_0001","Diaphragm Pumps",,"KNF","N87TT Ex ","230V 50 Hz EExdeIIC-T4 IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0002","Diaphragm Pumps",,"KNF","N026__.9 ","230V 50 Hz EExeIIT-3 IP44","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0003","Diaphragm Pumps",,"KNF","N026.1.2__.9 ","230V 50Hz EExeIIT-3 IP44","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0004","Diaphragm Pumps",,"KNF","N87TTE","IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0005","Diaphragm Pumps",,"KNF","N87TTE ATEX","IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0006","Diaphragm Pumps",,"KNF","N726FTE","IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0007","Diaphragm Pumps",,"KNF","N860FTE","IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
"Product_KNF_0008","Diaphragm Pumps",,"KNF","N860.3FTE","IP54","Pump-Diaphragm","TRUE","TRUE","Stockable Product","Make to Stock","Buy","Standard Price","Ea","Ea","Periodical (manual)",0,0,"Output VAT","Input VAT"
