"id","supplier/supplier/id","seller_ids/product_code","supplier/min_qty","seller_ids/pricelist_ids/price","seller_ids/pricelist_ids/min_quantity"
"Product_HF_0001","res_partner_supplier_0007",,1,59.904,1
"Product_HF_0002","res_partner_supplier_0007",,1,81.9468,1
"Product_HF_0003","res_partner_supplier_0007",,1,84,1
"Product_HF_0004","res_partner_supplier_0007",,1,146.75,1
"Product_HF_0005","res_partner_supplier_0007",,1,164.4,1
"Product_HF_0006","res_partner_supplier_0007",,1,164.4,1
"Product_HF_0007","res_partner_supplier_0007",,1,146.75,1
"Product_HF_0008","res_partner_supplier_0007",,1,261.85,1
"Product_HF_0009","res_partner_supplier_0007",,1,448.25,1
"Product_HF_0010","res_partner_supplier_0007",,1,21.95,1
"Product_HF_0011","res_partner_supplier_0007",,1,28.35,1
"Product_HF_0012","res_partner_supplier_0007",,1,29.952,1
"Product_HF_0013","res_partner_supplier_0007",,1,52.5,1
"Product_HF_0014","res_partner_supplier_0007",,1,58.396,1
"Product_HF_0015","res_partner_supplier_0007",,1,57.304,1
"Product_HF_0016","res_partner_supplier_0007",,1,51.948,1
"Product_HF_0017","res_partner_supplier_0007",,1,91,1
"Product_HF_0018","res_partner_supplier_0007",,1,156.4,1
"Product_HF_0019","res_partner_supplier_0007",,1,255.5,1
"Product_HF_0020","res_partner_supplier_0007",,1,63.15,1
"Product_HF_0021","res_partner_supplier_0007",,1,76.6,1
"Product_HF_0022","res_partner_supplier_0007",,1,87.8,1
"Product_HF_0023","res_partner_supplier_0007",,1,144.6,1
"Product_HF_0024","res_partner_supplier_0007",,1,146.75,1
"Product_HF_0025","res_partner_supplier_0007",,1,258.1,1
"Product_HF_0026","res_partner_supplier_0007",,1,476.65,1
"Product_HF_0027","res_partner_supplier_0007",,1,56.75,1
"Product_HF_0028","res_partner_supplier_0007",,1,63.15,1
"Product_HF_0029","res_partner_supplier_0007",,1,76,1
"Product_HF_0030","res_partner_supplier_0007",,1,124.8,1
"Product_HF_0031","res_partner_supplier_0007",,1,128,1
"Product_HF_0032","res_partner_supplier_0007",,1,173.5,1
"Product_HF_0033","res_partner_supplier_0007",,1,318.65,1
"Product_HF_0034","res_partner_supplier_0007",,1,44.4548,1
"Product_HF_0035","res_partner_supplier_0007",,1,51.4,1
"Product_HF_0036","res_partner_supplier_0007",,1,59.45,1
"Product_HF_0037","res_partner_supplier_0007",,1,99,1
"Product_HF_0038","res_partner_supplier_0007",,1,101.25,1
"Product_HF_0039","res_partner_supplier_0007",,1,151.5,1
"Product_HF_0040","res_partner_supplier_0007",,1,273,1
"Product_HF_0041","res_partner_supplier_0007",,1,42.3,1
"Product_HF_0042","res_partner_supplier_0007",,1,46,1
"Product_HF_0043","res_partner_supplier_0007",,1,49.8,1
"Product_HF_0044","res_partner_supplier_0007",,1,85.696,1
"Product_HF_0045","res_partner_supplier_0007",,1,88.348,1
"Product_HF_0046","res_partner_supplier_0007",,1,125.3,1
"Product_HF_0047","res_partner_supplier_0007",,1,220,1
"Product_HF_0048","res_partner_supplier_0007",,1,63.15,1
"Product_HF_0049","res_partner_supplier_0007",,1,76.6,1
"Product_HF_0050","res_partner_supplier_0007",,1,87.8,1
"Product_HF_0051","res_partner_supplier_0007",,1,144.6,1
"Product_HF_0052","res_partner_supplier_0007",,1,146.75,1
"Product_HF_0053","res_partner_supplier_0007",,1,258.1,1
"Product_HF_0054","res_partner_supplier_0007",,1,476.65,1
"Product_HF_0055","res_partner_supplier_0007",,1,56.75,1
"Product_HF_0056","res_partner_supplier_0007",,1,63.15,1
"Product_HF_0057","res_partner_supplier_0007",,1,76,1
"Product_HF_0058","res_partner_supplier_0007",,1,124.8,1
"Product_HF_0059","res_partner_supplier_0007",,1,128,1
"Product_HF_0060","res_partner_supplier_0007",,1,173.5,1
"Product_HF_0061","res_partner_supplier_0007",,1,318.65,1
"Product_HF_0062","res_partner_supplier_0007",,1,44.4548,1
"Product_HF_0063","res_partner_supplier_0007",,1,51.4,1
"Product_HF_0064","res_partner_supplier_0007",,1,59.45,1
"Product_HF_0065","res_partner_supplier_0007",,1,99,1
"Product_HF_0066","res_partner_supplier_0007",,1,101.25,1
"Product_HF_0067","res_partner_supplier_0007",,1,151.5,1
"Product_HF_0068","res_partner_supplier_0007",,1,273,1
"Product_HF_0069","res_partner_supplier_0007",,1,42.3,1
"Product_HF_0070","res_partner_supplier_0007",,1,46,1
"Product_HF_0071","res_partner_supplier_0007",,1,49.8,1
"Product_HF_0072","res_partner_supplier_0007",,1,85.696,1
"Product_HF_0073","res_partner_supplier_0007",,1,88.348,1
"Product_HF_0074","res_partner_supplier_0007",,1,125.3,1
"Product_HF_0075","res_partner_supplier_0007",,1,220,1
"Product_HF_0076","res_partner_supplier_0007",,1,46.6,1
"Product_HF_0077","res_partner_supplier_0007",,1,57.304,1
"Product_HF_0078","res_partner_supplier_0007",,1,65.3,1
"Product_HF_0079","res_partner_supplier_0007",,1,108,1
"Product_HF_0080","res_partner_supplier_0007",,1,108.7,1
"Product_HF_0081","res_partner_supplier_0007",,1,192.296,1
"Product_HF_0082","res_partner_supplier_0007",,1,355,1
"Product_HF_0083","res_partner_supplier_0007",,1,42.848,1
"Product_HF_0084","res_partner_supplier_0007",,1,46.6,1
"Product_HF_0085","res_partner_supplier_0007",,1,56.75,1
"Product_HF_0086","res_partner_supplier_0007",,1,93,1
"Product_HF_0087","res_partner_supplier_0007",,1,93.704,1
"Product_HF_0088","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0089","res_partner_supplier_0007",,1,237.25,1
"Product_HF_0090","res_partner_supplier_0007",,1,33.2,1
"Product_HF_0091","res_partner_supplier_0007",,1,38.55,1
"Product_HF_0092","res_partner_supplier_0007",,1,43.95,1
"Product_HF_0093","res_partner_supplier_0007",,1,74.95,1
"Product_HF_0094","res_partner_supplier_0007",,1,76,1
"Product_HF_0095","res_partner_supplier_0007",,1,112.996,1
"Product_HF_0096","res_partner_supplier_0007",,1,205,1
"Product_HF_0097","res_partner_supplier_0007",,1,32.15,1
"Product_HF_0098","res_partner_supplier_0007",,1,34.25,1
"Product_HF_0099","res_partner_supplier_0007",,1,38,1
"Product_HF_0100","res_partner_supplier_0007",,1,63.752,1
"Product_HF_0101","res_partner_supplier_0007",,1,64.25,1
"Product_HF_0102","res_partner_supplier_0007",,1,94.25,1
"Product_HF_0103","res_partner_supplier_0007",,1,166,1
"Product_HF_0104","res_partner_supplier_0007",,1,47.1,1
"Product_HF_0105","res_partner_supplier_0007",,1,42.848,1
"Product_HF_0106","res_partner_supplier_0007",,1,64.8,1
"Product_HF_0107","res_partner_supplier_0007",,1,101.75,1
"Product_HF_0108","res_partner_supplier_0007",,1,144.6,1
"Product_HF_0109","res_partner_supplier_0007",,1,222.8,1
"Product_HF_0110","res_partner_supplier_0007",,1,231.9,1
"Product_HF_0111","res_partner_supplier_0007",,1,269.9,1
"Product_HF_0112","res_partner_supplier_0007",,1,457.9,1
"Product_HF_0113","res_partner_supplier_0007",,1,56.75,1
"Product_HF_0114","res_partner_supplier_0007",,1,63.15,1
"Product_HF_0115","res_partner_supplier_0007",,1,76,1
"Product_HF_0116","res_partner_supplier_0007",,1,124.8,1
"Product_HF_0117","res_partner_supplier_0007",,1,128,1
"Product_HF_0118","res_partner_supplier_0007",,1,173.5,1
"Product_HF_0119","res_partner_supplier_0007",,1,319.748,1
"Product_HF_0120","res_partner_supplier_0007",,1,51.4,1
"Product_HF_0121","res_partner_supplier_0007",,1,81.9468,1
"Product_HF_0122","res_partner_supplier_0007",,1,55.7,1
"Product_HF_0123","res_partner_supplier_0007",,1,79.8,1
"Product_HF_0124","res_partner_supplier_0007",,1,79.8,1
"Product_HF_0125","res_partner_supplier_0007",,1,51.4,1
"Product_HF_0126","res_partner_supplier_0007",,1,70,1
"Product_HF_0127","res_partner_supplier_0007",,1,70,1
"Product_HF_0128","res_partner_supplier_0007",,1,71.75,1
"Product_HF_0129","res_partner_supplier_0007",,1,71.75,1
"Product_HF_0130","res_partner_supplier_0007",,1,35.3,1
"Product_HF_0131","res_partner_supplier_0007",,1,50.3,1
"Product_HF_0132","res_partner_supplier_0007",,1,43.9,1
"Product_HF_0133","res_partner_supplier_0007",,1,99.6,1
"Product_HF_0134","res_partner_supplier_0007",,1,144,1
"Product_HF_0135","res_partner_supplier_0007",,1,16,1
"Product_HF_0136","res_partner_supplier_0007",,1,22.45,1
"Product_HF_0137","res_partner_supplier_0007",,1,33.75,1
"Product_HF_0138","res_partner_supplier_0007",,1,49.8,1
"Product_HF_0139","res_partner_supplier_0007",,1,63.752,1
"Product_HF_0140","res_partner_supplier_0007",,1,79.8,1
"Product_HF_0141","res_partner_supplier_0007",,1,89.45,1
"Product_HF_0142","res_partner_supplier_0007",,1,178.85,1
"Product_HF_0143","res_partner_supplier_0007",,1,16,1
"Product_HF_0144","res_partner_supplier_0007",,1,22.45,1
"Product_HF_0145","res_partner_supplier_0007",,1,33.75,1
"Product_HF_0146","res_partner_supplier_0007",,1,49.8,1
"Product_HF_0147","res_partner_supplier_0007",,1,63.752,1
"Product_HF_0148","res_partner_supplier_0007",,1,79.8,1
"Product_HF_0149","res_partner_supplier_0007",,1,89.45,1
"Product_HF_0150","res_partner_supplier_0007",,1,178.85,1
"Product_HF_0151","res_partner_supplier_0007",,1,61,1
"Product_HF_0152","res_partner_supplier_0007",,1,85.2,1
"Product_HF_0153","res_partner_supplier_0007",,1,137.65,1
"Product_HF_0154","res_partner_supplier_0007",,1,239,1
"Product_HF_0155","res_partner_supplier_0007",,1,404,1
"Product_HF_0156","res_partner_supplier_0007",,1,809,1
"Product_HF_0157","res_partner_supplier_0007",,1,48.204,1
"Product_HF_0158","res_partner_supplier_0007",,1,74.45,1
"Product_HF_0159","res_partner_supplier_0007",,1,124.75,1
"Product_HF_0160","res_partner_supplier_0007",,1,208,1
"Product_HF_0161","res_partner_supplier_0007",,1,377,1
"Product_HF_0162","res_partner_supplier_0007",,1,755,1
"Product_HF_0163","res_partner_supplier_0007",,1,170.85,1
"Product_HF_0164","res_partner_supplier_0007",,1,199.2,1
"Product_HF_0165","res_partner_supplier_0007",,1,248.5,1
"Product_HF_0166","res_partner_supplier_0007",,1,301.5,1
"Product_HF_0167","res_partner_supplier_0007",,1,509,1
"Product_HF_0168","res_partner_supplier_0007",,1,975,1
"Product_HF_0169","res_partner_supplier_0007",,1,37.5,1
"Product_HF_0170","res_partner_supplier_0007",,1,57.304,1
"Product_HF_0171","res_partner_supplier_0007",,1,96.4,1
"Product_HF_0172","res_partner_supplier_0007",,1,164.9,1
"Product_HF_0173","res_partner_supplier_0007",,1,290.3,1
"Product_HF_0174","res_partner_supplier_0007",,1,581,1
"Product_HF_0175","res_partner_supplier_0007",,1,150.5,1
"Product_HF_0176","res_partner_supplier_0007",,1,199.25,1
"Product_HF_0177","res_partner_supplier_0007",,1,358,1
"Product_HF_0178","res_partner_supplier_0007",,1,612,1
"Product_HF_0179","res_partner_supplier_0007",,1,150.5,1
"Product_HF_0180","res_partner_supplier_0007",,1,199.25,1
"Product_HF_0181","res_partner_supplier_0007",,1,358,1
"Product_HF_0182","res_partner_supplier_0007",,1,612,1
"Product_HF_0183","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0184","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0185","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0186","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0187","res_partner_supplier_0007",,1,326.7,1
"Product_HF_0188","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0189","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0190","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0191","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0192","res_partner_supplier_0007",,1,381,1
"Product_HF_0193","res_partner_supplier_0007",,1,224,1
"Product_HF_0194","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0195","res_partner_supplier_0007",,1,364,1
"Product_HF_0196","res_partner_supplier_0007",,1,364,1
"Product_HF_0197","res_partner_supplier_0007",,1,364,1
"Product_HF_0198","res_partner_supplier_0007",,1,364,1
"Product_HF_0199","res_partner_supplier_0007",,1,245,1
"Product_HF_0200","res_partner_supplier_0007",,1,245,1
"Product_HF_0201","res_partner_supplier_0007",,1,245,1
"Product_HF_0202","res_partner_supplier_0007",,1,245,1
"Product_HF_0203","res_partner_supplier_0007",,1,485,1
"Product_HF_0204","res_partner_supplier_0007",,1,684,1
"Product_HF_0205","res_partner_supplier_0007",,1,437,1
"Product_HF_0206","res_partner_supplier_0007",,1,437,1
"Product_HF_0207","res_partner_supplier_0007",,1,437,1
"Product_HF_0208","res_partner_supplier_0007",,1,437,1
"Product_HF_0209","res_partner_supplier_0007",,1,305,1
"Product_HF_0210","res_partner_supplier_0007",,1,305,1
"Product_HF_0211","res_partner_supplier_0007",,1,305,1
"Product_HF_0212","res_partner_supplier_0007",,1,305,1
"Product_HF_0213","res_partner_supplier_0007",,1,612,1
"Product_HF_0214","res_partner_supplier_0007",,1,820,1
"Product_HF_0215","res_partner_supplier_0007",,1,820,1
"Product_HF_0216","res_partner_supplier_0007",,1,1264,1
"Product_HF_0217","res_partner_supplier_0007",,1,2024,1
"Product_HF_0218","res_partner_supplier_0007",,1,1002,1
"Product_HF_0219","res_partner_supplier_0007",,1,1424,1
"Product_HF_0220","res_partner_supplier_0007",,1,2410,1
"Product_HF_0221","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0222","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0223","res_partner_supplier_0007",,1,245.25,1
"Product_HF_0224","res_partner_supplier_0007",,1,245.25,1
"Product_HF_0225","res_partner_supplier_0007",,1,305,1
"Product_HF_0226","res_partner_supplier_0007",,1,305,1
"Product_HF_0227","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0228","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0229","res_partner_supplier_0007",,1,245.25,1
"Product_HF_0230","res_partner_supplier_0007",,1,245.25,1
"Product_HF_0231","res_partner_supplier_0007",,1,305,1
"Product_HF_0232","res_partner_supplier_0007",,1,305,1
"Product_HF_0233","res_partner_supplier_0007",,1,198,1
"Product_HF_0234","res_partner_supplier_0007",,1,236,1
"Product_HF_0235","res_partner_supplier_0007",,1,225.5,1
"Product_HF_0236","res_partner_supplier_0007",,1,314.5,1
"Product_HF_0237","res_partner_supplier_0007",,1,414,1
"Product_HF_0238","res_partner_supplier_0007",,1,175.65,1
"Product_HF_0239","res_partner_supplier_0007",,1,199.2,1
"Product_HF_0240","res_partner_supplier_0007",,1,174.6,1
"Product_HF_0241","res_partner_supplier_0007",,1,271,1
"Product_HF_0242","res_partner_supplier_0007",,1,130.65,1
"Product_HF_0243","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0244","res_partner_supplier_0007",,1,364.7,1
"Product_HF_0245","res_partner_supplier_0007",,1,437,1
"Product_HF_0246","res_partner_supplier_0007",,1,820,1
"Product_HF_0247","res_partner_supplier_0007",,1,245,1
"Product_HF_0248","res_partner_supplier_0007",,1,143.5,1
"Product_HF_0249","res_partner_supplier_0007",,1,175.5,1
"Product_HF_0250","res_partner_supplier_0007",,1,406,1
