id,ref,date,period_id,journal_id,line_id/name,line_id/partner_id,line_id/account_id,line_id/date_maturity,line_id/debit,line_id/credit,line_id/amount_currency,line_id/currency_id,line_id/account_tax_id,line_id/tax_amount
,,,,,93701,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-07-20,,452.91,,,,
,,,,,514404,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-07-20,,11705.38,,,,
,,,,,781846,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-06-18,,12854,,,,
,,,,,782898,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-06-23,,1164.12,,,,
,,,,,782899,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-06-23,,1670.53,,,,
,,,,,516137,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-08-05,,3955.07,,,,
,,,,,784420,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-06-30,,14205,,,,
,,,,,786586,"TNT Express Worldwide (Thailand) Co., Ltd.",211100,2014-06-27,,1136.11,,,,
,,,,,39020441,"RS Components Co.,Ltd",211100,2014-05-20,,1498,,,,
,,,,,39024028,"RS Components Co.,Ltd",211100,2014-08-05,,652.7,,,,
,,,,,IV57-05-006,บริษัท ที.เอ็น.เอส. โซลูชั่น เอ็นจิเนียริ่ง จํากัด,211100,2014-07-05,,44298,,,,
,,,,,2014/179,"EVT Plastic Co., Ltd",211100,2014-08-05,,494.5,,,,
,,,,,2014/180,"EVT Plastic Co., Ltd",211100,2014-08-05,,19310.56,,,,
,,,,,2014/185,"EVT Plastic Co., Ltd",211100,2014-08-05,,131.45,,,,
,,,,,605001120,Thai Dry Ice,211100,2014-07-05,,7200,,,,
,,,,,140505975,"Thai Polymer Supply Co.,Ltd",211100,2014-07-05,,963,,,,
,,,,,140600087,"Thai Polymer Supply Co.,Ltd",211100,2014-07-20,,14398.99,,,,
,,,,,140604403,"Thai Polymer Supply Co.,Ltd",211100,2014-07-20,,1276.51,,,,
,,,,,57-06-036,บริษัท ไนซ์ ไนน์ อินเตอร์เทรด จำกัด,211100,2014-07-20,,2407.5,,,,
,,,,,61020,บริษัท ไดก้า (ไทย) จำกัด,211100,2014-08-05,,108605,,,,
,,,,,TU000100,"Fuji Electric (Thailand) Co.,Ltd.",211100,2014-08-05,,13482,,,,
,,,,,2403531,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด,211100,2014-07-05,,524.3,,,,
,,,,,2404994,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด,211100,2014-07-05,,1572.9,,,,
,,,,,8000001127,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด,211100,2014-07-20,,524.3,,,,
,,,,,IV0100002,"Siam Rajathanee (East) Co., Ltd.",211100,2014-07-05,,14466.4,,,,
,,,,,CR3-570526-0028,"Hardwarehouse & Home Product Co., Ltd",211100,2014-07-05,,421.78,,,,
,,,,,CR3-570630-0008,"Hardwarehouse & Home Product Co., Ltd",211100,2014-08-05,,2498.02,,,,
,,,,,IV140602,บริษัท ซิสเต็มเมติค อินสทรูเม้นท์ (ประเทศไทย)จำกัด,211100,2014-07-20,,26750,,,,
,,,,,IV140612,บริษัท ซิสเต็มเมติค อินสทรูเม้นท์ (ประเทศไทย)จำกัด,211100,2014-08-05,,46010,,,,
,,,,,2010110275,บริษัท เคโมไซเอนซ์ (ประเทศไทย) จำกัด,211100,2014-07-05,,5042.27,,,,
,,,,,2010100725,บริษัท เคโมไซเอนซ์ (ประเทศไทย) จำกัด,211100,2014-08-05,5042.27,,,,,
,,,,,2010110537,บริษัท เคโมไซเอนซ์ (ประเทศไทย) จำกัด,211100,2014-08-05,,57245,,,,
,,,,,1-1402119,บริษัท วิทยาศรม ศรีราชา  จำกัด,211100,2014-07-20,,695.5,,,,
,,,,,IV1401912,บริษัท พาราไซแอนติฟิค จำกัด,211100,2014-08-05,,15755.75,,,,
,,,,,IV0140225,บริษัท พสุ ซัพพลาย แอนด์ เซอร์วิส จำกัด,211100,2014-08-05,,6275.55,,,,
,,,,,IV0140226,บริษัท พสุ ซัพพลาย แอนด์ เซอร์วิส จำกัด,211100,2014-08-05,,286.76,,,,
,,,,,AP THB B/F 30 Jun 2014_Temp A/C,,999999,,807519.86,,,,,
,,,,,C41598,Advanced Instruments Inc.,211200,2014-05-22,,10867.23,-330,USD,,
,,,,,C41927,Advanced Instruments Inc.,211200,2014-06-19,,104893.47,-3185.25,USD,,
,,,,,AP USD B/F 30 Jun 2014_Temp A/C,,999999,,115760.7,,,,,
